"","pickup","dropoff","passengers","distance","fare","tip","tolls","total","color","payment","pickup_zone","dropoff_zone","pickup_borough","dropoff_borough"
"724","2019-03-08 20:53:27","2019-03-08 20:59:44",2,1,6,1.5,0,11.3,"yellow","credit card","Union Sq","East Chelsea","Manhattan","Manhattan"
"2143","2019-03-27 14:33:39","2019-03-27 14:54:00",1,0.82,12.5,3.95,0,19.75,"yellow","credit card","Midtown Center","Times Sq/Theatre District","Manhattan","Manhattan"
"3492","2019-03-06 13:48:01","2019-03-06 14:00:43",4,1.08,9,2.46,0,14.76,"yellow","credit card","Greenwich Village North","Little Italy/NoLiTa","Manhattan","Manhattan"
"3785","2019-03-02 00:50:05","2019-03-02 00:58:26",6,1.8,8.5,0,0,12.3,"yellow","credit card","Flatiron","Alphabet City","Manhattan","Manhattan"
"2274","2019-03-09 00:27:14","2019-03-09 00:56:07",1,6.7,24,5.55,0,33.35,"yellow","credit card","Midtown North","Bushwick North","Manhattan","Brooklyn"
"602","2019-03-05 19:50:23","2019-03-05 20:19:31",6,8.37,28,3.81,5.76,41.87,"yellow","credit card","SoHo","Midwood","Manhattan","Brooklyn"
"6359","2019-03-21 20:55:39","2019-03-21 21:10:35",1,3.01,12,0,0,13.3,"green","cash","DUMBO/Vinegar Hill","Clinton Hill","Brooklyn","Brooklyn"
"2225","2019-03-14 19:12:12","2019-03-14 19:53:18",1,8.3,27.06,0,0,27.86,"yellow","credit card","Times Sq/Theatre District","East Concourse/Concourse Village","Manhattan","Bronx"
"89","2019-03-16 05:08:02","2019-03-16 05:08:20",1,0.07,2.5,0,0,3.8,"yellow","cash","Astoria","Astoria","Queens","Queens"
"1296","2019-03-27 08:32:50","2019-03-27 09:07:19",2,4.4,23,0,0,26.3,"yellow","cash","Penn Station/Madison Sq West","East Harlem South","Manhattan","Manhattan"
"6390","2019-03-25 08:19:25","2019-03-25 08:26:09",1,1.09,6.5,2.19,0,9.49,"green","credit card","Astoria","Astoria","Queens","Queens"
"2253","2019-03-11 15:32:33","2019-03-11 16:06:54",1,8,29.5,0,0,30.3,"yellow","credit card","Midtown Center","Washington Heights South","Manhattan","Manhattan"
"5153","2019-03-09 08:51:40","2019-03-09 09:02:13",1,2.89,10.5,2.76,0,16.56,"yellow","credit card","Lincoln Square East","Greenwich Village North","Manhattan","Manhattan"
"424","2019-03-01 08:32:53","2019-03-01 08:47:18",1,3.09,12,3.06,0,18.36,"yellow","credit card","Hudson Sq","Alphabet City","Manhattan","Manhattan"
"1796","2019-03-15 17:30:47","2019-03-15 17:39:59",1,0.87,7.5,2.36,0,14.16,"yellow","credit card","Upper East Side South","Times Sq/Theatre District","Manhattan","Manhattan"
"2950","2019-03-20 15:10:47","2019-03-20 16:06:20",1,15.58,52,11.06,0,66.36,"yellow","credit card","Midtown East","JFK Airport","Manhattan","Queens"
"227","2019-03-01 20:28:26","2019-03-01 20:36:21",1,1.31,7.5,0,0,11.3,"yellow","cash","Garment District","Midtown East","Manhattan","Manhattan"
"307","2019-03-02 01:05:09","2019-03-02 01:25:21",1,6.25,20,4,0,27.8,"yellow","credit card","East Village","Bloomingdale","Manhattan","Manhattan"
"4233","2019-03-06 08:09:22","2019-03-06 08:39:27",1,2.47,18.5,0,0,21.8,"yellow","cash","Upper East Side North","Midtown East","Manhattan","Manhattan"
"5023","2019-03-02 13:56:42","2019-03-02 14:17:46",1,7.7,23.5,4.85,0,29.15,"yellow","credit card","LaGuardia Airport","Williamsburg (North Side)","Queens","Brooklyn"
"2871","2019-03-27 12:06:17","2019-03-27 12:38:46",1,10.7,34,10.75,5.76,53.81,"yellow","credit card","LaGuardia Airport","Midtown Center","Queens","Manhattan"
"6173","2019-03-13 09:04:25","2019-03-13 09:39:54",1,7.1,25.7,0,0,26.2,"green","credit card","East New York","Jamaica","Brooklyn","Queens"
"6124","2019-03-22 18:46:14","2019-03-22 19:01:30",1,2.02,11,0,0,12.8,"green","cash","Jackson Heights","North Corona","Queens","Queens"
"4142","2019-03-27 09:42:55","2019-03-27 10:08:07",2,2.87,17,4.06,0,24.36,"yellow","credit card","Upper West Side North","Lenox Hill East","Manhattan","Manhattan"
